"GroupName","GroupType","GroupURL"
"1 Million Cups","Startups","http://www.1millioncups.com/kansascity"
"ACM Kansas City","IT","https://www.meetup.com/acm-kansas-city/"
"Adobe KCDesignCore","Design","http://www.meetup.com/kcdesigncore/"
"Agile KC","PM","https://www.meetup.com/agile-kc/"
"Atlassian","PM","http://aug.atlassian.com/cities/kansascitymo"
"Code for KC","Coding","https://codeforkc.org/"
"Coding and Cupcakes KC","Volunteer","https://www.facebook.com/codingandcupcakesKC"
"Coffee and Code","Coding","https://www.meetup.com/coffee-and-code/"
"Data Professionals KC","Data","https://kcdataprofessionals.org/"
"Data Science KC","Data","http://www.meetup.com/Data-Science-KC/"
"DataBricks User Group Kansas City","Data","https://www.meetup.com/databricks-user-group-kansas-city/"
"DevOps Kansas City","DevOps","http://www.meetup.com/DevOps-Kansas-City/"
"Dynamics UG Kansas City","Platforms","https://www.meetup.com/microsoft-dynamics-and-power-platform-in-kansas-city/"
"Elastic Kansas City Meetup","Data","http://www.meetup.com/Elastic-Kansas-City-Meetup/"
"FaithTech KC","Social","https://www.meetup.com/crosstechkc/"
"FortiKC User Group","Platforms","https://www.meetup.com/fortikc-user-group/"
"Global AI KC","Coding","https://globalai.community/chapters/kansas-city/"
"Google Developer Group Kansas City","Coding","https://gdg.community.dev/gdg-cloud-kansas-city/"
"Greater Kansas City 2600","Security","http://www.kc2600.com/"
"Hack the Box","Security","https://www.meetup.com/hack-the-box-meetup-kansas-city-ks-us"
"Hammerspace KC","Hardware","http://www.meetup.com/Hammerspace-Community-Workshop-and-Makerspace/"
"InfraGard","Security",""
"International Institute of Business Analysts - KC","Business","https://kansascity.iiba.org/"
"ISACA KC Auditing & Controls","Security","http://www.isaca-kc.org/"
"ISC2 (Squared)","Security","https://www.isc2kcchapter.org/"
"ISSA KC","Security","http://www.kc.issa.org/"
"Kansas City AI Club","Platforms","https://www.kansascity.ai/"
"Kansas City Chapter of Asis","Security","http://www.kcasis.org"
"Kansas City Chapter of Cloud Security Alliance","Security","https://csakc.org/"
"Kansas City Java Users Group","Coding","https://www.meetup.com/KansasCityJUG/"
"Kansas City Kafka","Platforms","https://www.meetup.com/KansasCity-Kafka/"
"Kansas City Open Source for IBM Z Meetup","Platforms","https://www.meetup.com/Kansas-City-Open-Source-Meetup/"
"Kansas City PHP User Group","Coding","https://www.meetup.com/kcphpug/"
"Kansas City PostGreSQL User Group","Data","https://www.meetup.com/kansas-city-postgres-user-group/"
"Kansas City React Meetup","Coding","https://www.meetup.com/Kansas-City-React-Meetup/"
"Kansas City Red Hat User Group","Platforms","https://www.meetup.com/kansas-city-red-hat-users-group-rhug/"
"Kansas City SharePoint Professionals","Platforms","https://www.linkedin.com/groups/1836863"
"Kansas City SQL Server User Group","Data","https://www.meetup.com/kansas-city-sql-server-users-group/"
"Kansas City Women in Technology","Coding","http://kcwomenintech.org/"
"KC .Net User Group","Coding","http://www.meetup.com/KC-NET-User-Group/"
"KC Amazon Web Services User Group","Coding","http://www.meetup.com/KC-Amazon-Web-Services-User-Group/"
"KC Game Developers","Coding","https://www.meetup.com/kansas-city-game-developers/"
"KC M365 User Group","Platforms","https://www.meetup.com/kcm365ug"
"KC Office 365 and Sharepoint (SPS Saturday)","Data","https://www.eventbrite.com/e/kc-o365-user-group-tickets-50498768175"
"KC Qlik Group","Data","https://www.meetup.com/kc-qlik-group/"
"KC Tech Book Club","General","https://www.meetup.com/Kansas-City-Tech-Book-Club-Meetup/"
"KC Tech Enthusiasts","Coding","https://www.kctechenthusiasts.com/"
"KC UXPA KC and KC UX","Design","https://www.linkedin.com/groups/2429095"
"KCVR Virtual Reality","Hardware","http://www.meetup.com/KC-VR1/"
"Lawrence Tech Guild","Coding","https://www.linkedin.com/groups/14105149/"
"Lean Agile KC Lean Coffee","PM","https://www.meetup.com/LeanCoffeeKC/"
"Microsoft Access","Coding","https://www.kansascityusergroups.com/p/kansas-city-microsoft-access-user-group.html"
"Next Five Meetup","Startups","https://www.meetup.com/nextfive/"
"OWASP","Security","https://www.owasp.org/index.php/Kansas_City"
"Python KC","Coding","http://www.meetup.com/pythonkc/"
"Red Hat Users Group","Platforms","https://www.meetup.com/Kansas-City-Red-Hat-Users-Group-RHUG/"
"SecKC","Security","http://seckc.org/"
"SharePoint Office 365","Coding","https://www.meetup.com/Kansas-City-SharePoint-Office-365-Users-Group/"
"Smarter SharePoint KC User Group","Platforms","https://www.linkedin.com/groups/4768892"
"The Kansas City Ruby Meetup Group","Coding","https://kcruby.org/"
"UXPA Kansas City","Design","http://uxpakc.org/"
"WiCys/ Women in Cybersecurity","Security","https://wicyskcmetroplex.org/"
"Women in Security KC","Security","http://wiskc.org"
